#Name (cmd = mergePeaks ./motif//bg.clean.pos ./motif//target.clean..pos -d 200 -cobound 1 -prefix ./motif//0.805857143904181.2.tmp)	chr	start	end	strand	stat	stat2	./motif//target.clean..pos
BGdKO-na_vs_Null_peak_14092	chr7	79385009	79385209	+	22.8	0.000	WT-na_vs_Null_peak_21534
BGdKO-na_vs_Null_peak_14093	chr7	79414931	79415131	+	15.7	0.000	WT-na_vs_Null_peak_21536
BGdKO-na_vs_Null_peak_14094	chr7	79420443	79420643	+	22.6	0.000	WT-na_vs_Null_peak_21537
BGdKO-na_vs_Null_peak_14095	chr7	79425739	79425939	+	21.6	0.000	WT-na_vs_Null_peak_21538
BGdKO-na_vs_Null_peak_14096	chr7	79451570	79451770	+	31.1	0.000	WT-na_vs_Null_peak_21539
BGdKO-na_vs_Null_peak_14097	chr7	79453027	79453227	+	29.4	0.000	WT-na_vs_Null_peak_21540
BGdKO-na_vs_Null_peak_14098	chr7	79459658	79459858	+	11.4	0.000	WT-na_vs_Null_peak_21541
BGdKO-na_vs_Null_peak_14102	chr7	80668171	80668371	+	23.4	0.000	WT-na_vs_Null_peak_21544
BGdKO-na_vs_Null_peak_14103	chr7	80669336	80669536	+	25.4	0.000	WT-na_vs_Null_peak_21545
BGdKO-na_vs_Null_peak_14104	chr7	80682605	80682805	+	40.4	0.000	WT-na_vs_Null_peak_21547
BGdKO-na_vs_Null_peak_14105	chr7	80703515	80703715	+	36.9	0.000	WT-na_vs_Null_peak_21549
BGdKO-na_vs_Null_peak_14106	chr7	80728266	80728466	+	24.8	0.000	WT-na_vs_Null_peak_21551
BGdKO-na_vs_Null_peak_14108	chr7	80740250	80740450	+	29.2	0.000	WT-na_vs_Null_peak_21553
BGdKO-na_vs_Null_peak_14109	chr7	80751778	80751978	+	24.9	0.000	WT-na_vs_Null_peak_21555
BGdKO-na_vs_Null_peak_14110	chr7	80763430	80763630	+	18.8	0.000	WT-na_vs_Null_peak_21556
BGdKO-na_vs_Null_peak_14111	chr7	80773125	80773325	+	31.6	0.000	WT-na_vs_Null_peak_21557
BGdKO-na_vs_Null_peak_14112	chr7	81828864	81829064	+	8.61	0.000	WT-na_vs_Null_peak_21561
BGdKO-na_vs_Null_peak_14113	chr7	81835697	81835897	+	23.4	0.000	WT-na_vs_Null_peak_21562
BGdKO-na_vs_Null_peak_14114	chr7	82139602	82139802	+	114.1	0.000	WT-na_vs_Null_peak_21563
BGdKO-na_vs_Null_peak_14115	chr7	82517007	82517207	+	25.8	0.000	WT-na_vs_Null_peak_21567
BGdKO-na_vs_Null_peak_14116	chr7	82600194	82600394	+	56.6	0.000	WT-na_vs_Null_peak_21568
BGdKO-na_vs_Null_peak_14117	chr7	82717112	82717312	+	24.1	0.000	WT-na_vs_Null_peak_21572
BGdKO-na_vs_Null_peak_14118	chr7	82730983	82731183	+	12.2	0.000	WT-na_vs_Null_peak_21575
BGdKO-na_vs_Null_peak_14119	chr7	82740988	82741188	+	21.8	0.000	WT-na_vs_Null_peak_21576
BGdKO-na_vs_Null_peak_14120	chr7	82745371	82745571	+	35.9	0.000	WT-na_vs_Null_peak_21577
BGdKO-na_vs_Null_peak_14121	chr7	82754561	82754761	+	11.7	0.000	WT-na_vs_Null_peak_21578
BGdKO-na_vs_Null_peak_14122	chr7	82755290	82755490	+	17.6	0.000	WT-na_vs_Null_peak_21579
BGdKO-na_vs_Null_peak_14123	chr7	82784515	82784715	+	15.7	0.000	WT-na_vs_Null_peak_21580
BGdKO-na_vs_Null_peak_14126	chr7	82800642	82800842	+	11.2	0.000	WT-na_vs_Null_peak_21581
BGdKO-na_vs_Null_peak_14127	chr7	82801388	82801588	+	15.6	0.000	WT-na_vs_Null_peak_21582
BGdKO-na_vs_Null_peak_14129	chr7	82846741	82846941	+	23.4	0.000	WT-na_vs_Null_peak_21583
BGdKO-na_vs_Null_peak_14131	chr7	82926977	82927177	+	21.7	0.000	WT-na_vs_Null_peak_21586
BGdKO-na_vs_Null_peak_14132	chr7	82933454	82933654	+	14.8	0.000	WT-na_vs_Null_peak_21587
BGdKO-na_vs_Null_peak_14133	chr7	82940111	82940311	+	13.3	0.000	WT-na_vs_Null_peak_21588
BGdKO-na_vs_Null_peak_14134	chr7	82941447	82941647	+	29.0	0.000	WT-na_vs_Null_peak_21589
BGdKO-na_vs_Null_peak_14135	chr7	82980234	82980434	+	19.7	0.000	WT-na_vs_Null_peak_21591
BGdKO-na_vs_Null_peak_14136	chr7	82993031	82993231	+	37.9	0.000	WT-na_vs_Null_peak_21592
BGdKO-na_vs_Null_peak_14137	chr7	83026318	83026518	+	18.7	0.000	WT-na_vs_Null_peak_21595
BGdKO-na_vs_Null_peak_14138	chr7	83054950	83055150	+	18.4	0.000	WT-na_vs_Null_peak_21596
BGdKO-na_vs_Null_peak_14139	chr7	83382502	83382702	+	30.5	0.000	WT-na_vs_Null_peak_21601
BGdKO-na_vs_Null_peak_14141	chr7	84145727	84145927	+	16.7	0.000	WT-na_vs_Null_peak_21603
BGdKO-na_vs_Null_peak_14142	chr7	85864090	85864290	+	7.82	0.000	WT-na_vs_Null_peak_21606
BGdKO-na_vs_Null_peak_14143	chr7	85927862	85928062	+	14.8	0.000	WT-na_vs_Null_peak_21610
BGdKO-na_vs_Null_peak_14144	chr7	85992093	85992293	+	38.6	0.000	WT-na_vs_Null_peak_21612
BGdKO-na_vs_Null_peak_14145	chr7	85992458	85992658	+	6.36	0.000	WT-na_vs_Null_peak_21613
BGdKO-na_vs_Null_peak_14146	chr7	86040604	86040804	+	52.8	0.000	WT-na_vs_Null_peak_21616
BGdKO-na_vs_Null_peak_14147	chr7	86058728	86058928	+	8.94	0.000	WT-na_vs_Null_peak_21618
BGdKO-na_vs_Null_peak_14148	chr7	86417732	86417932	+	43.5	0.000	WT-na_vs_Null_peak_21619
BGdKO-na_vs_Null_peak_14149	chr7	86537109	86537309	+	15.6	0.000	WT-na_vs_Null_peak_21624
BGdKO-na_vs_Null_peak_14150	chr7	86611186	86611386	+	29.4	0.000	WT-na_vs_Null_peak_21627
BGdKO-na_vs_Null_peak_14151	chr7	86804864	86805064	+	64.6	0.000	WT-na_vs_Null_peak_21630
BGdKO-na_vs_Null_peak_14152	chr7	87065450	87065650	+	13.8	0.000	WT-na_vs_Null_peak_21635
BGdKO-na_vs_Null_peak_14153	chr7	87354732	87354932	+	39.3	0.000	WT-na_vs_Null_peak_21642
BGdKO-na_vs_Null_peak_14154	chr7	87377669	87377869	+	27.3	0.000	WT-na_vs_Null_peak_21643
BGdKO-na_vs_Null_peak_14155	chr7	87391074	87391274	+	18.7	0.000	WT-na_vs_Null_peak_21644
BGdKO-na_vs_Null_peak_14156	chr7	87414377	87414577	+	20.7	0.000	WT-na_vs_Null_peak_21646
BGdKO-na_vs_Null_peak_14157	chr7	87439135	87439335	+	35.7	0.000	WT-na_vs_Null_peak_21647
BGdKO-na_vs_Null_peak_14159	chr7	87469299	87469499	+	22.8	0.000	WT-na_vs_Null_peak_21648
BGdKO-na_vs_Null_peak_14160	chr7	87485079	87485279	+	44.5	0.000	WT-na_vs_Null_peak_21649
BGdKO-na_vs_Null_peak_14161	chr7	87487851	87488051	+	15.1	0.000	WT-na_vs_Null_peak_21650
BGdKO-na_vs_Null_peak_14162	chr7	87515529	87515729	+	8.61	0.000	WT-na_vs_Null_peak_21651
BGdKO-na_vs_Null_peak_14163	chr7	87549091	87549291	+	11.1	0.000	WT-na_vs_Null_peak_21653
BGdKO-na_vs_Null_peak_14165	chr7	87594818	87595018	+	35.0	0.000	WT-na_vs_Null_peak_21654
BGdKO-na_vs_Null_peak_14166	chr7	87679116	87679316	+	10.9	0.000	WT-na_vs_Null_peak_21655
BGdKO-na_vs_Null_peak_14167	chr7	87679995	87680195	+	46.7	0.000	WT-na_vs_Null_peak_21656
BGdKO-na_vs_Null_peak_14168	chr7	87788197	87788397	+	12.0	0.000	WT-na_vs_Null_peak_21663
BGdKO-na_vs_Null_peak_14169	chr7	87792424	87792624	+	13.8	0.000	WT-na_vs_Null_peak_21664
BGdKO-na_vs_Null_peak_14170	chr7	87854409	87854609	+	12.9	0.000	WT-na_vs_Null_peak_21668
BGdKO-na_vs_Null_peak_14171	chr7	87924223	87924423	+	16.4	0.000	WT-na_vs_Null_peak_21669
BGdKO-na_vs_Null_peak_14172	chr7	87927108	87927308	+	32.1	0.000	WT-na_vs_Null_peak_21670
BGdKO-na_vs_Null_peak_14173	chr7	87948244	87948444	+	20.7	0.000	WT-na_vs_Null_peak_21672
BGdKO-na_vs_Null_peak_14174	chr7	88005631	88005831	+	14.2	0.000	WT-na_vs_Null_peak_21676
BGdKO-na_vs_Null_peak_14175	chr7	88009843	88010043	+	24.7	0.000	WT-na_vs_Null_peak_21677
BGdKO-na_vs_Null_peak_14176	chr7	88028039	88028239	+	18.7	0.000	WT-na_vs_Null_peak_21678
BGdKO-na_vs_Null_peak_14177	chr7	88046061	88046261	+	24.9	0.000	WT-na_vs_Null_peak_21680
BGdKO-na_vs_Null_peak_14178	chr7	88092657	88092857	+	26.2	0.000	WT-na_vs_Null_peak_21682
BGdKO-na_vs_Null_peak_14179	chr7	88149674	88149874	+	9.43	0.000	WT-na_vs_Null_peak_21685
BGdKO-na_vs_Null_peak_14180	chr7	88220301	88220501	+	18.7	0.000	WT-na_vs_Null_peak_21686
BGdKO-na_vs_Null_peak_14181	chr7	88300007	88300207	+	7.82	0.000	WT-na_vs_Null_peak_21687
BGdKO-na_vs_Null_peak_14183	chr7	88324520	88324720	+	18.7	0.000	WT-na_vs_Null_peak_21688
BGdKO-na_vs_Null_peak_14184	chr7	88357220	88357420	+	15.5	0.000	WT-na_vs_Null_peak_21689
BGdKO-na_vs_Null_peak_14185	chr7	88490068	88490268	+	23.9	0.000	WT-na_vs_Null_peak_21693
BGdKO-na_vs_Null_peak_14186	chr7	88668256	88668456	+	21.7	0.000	WT-na_vs_Null_peak_21694
BGdKO-na_vs_Null_peak_14187	chr7	88715996	88716196	+	40.0	0.000	WT-na_vs_Null_peak_21695
BGdKO-na_vs_Null_peak_14188	chr7	88907740	88907940	+	23.2	0.000	WT-na_vs_Null_peak_21696
BGdKO-na_vs_Null_peak_14189	chr7	88908453	88908653	+	16.2	0.000	WT-na_vs_Null_peak_21697
BGdKO-na_vs_Null_peak_14190	chr7	88934241	88934441	+	15.7	0.000	WT-na_vs_Null_peak_21698
BGdKO-na_vs_Null_peak_14191	chr7	89008177	89008377	+	19.1	0.000	WT-na_vs_Null_peak_21701
BGdKO-na_vs_Null_peak_14192	chr7	89796924	89797124	+	40.0	0.000	WT-na_vs_Null_peak_21703
BGdKO-na_vs_Null_peak_14194	chr7	90014549	90014749	+	25.7	0.000	WT-na_vs_Null_peak_21706
BGdKO-na_vs_Null_peak_14195	chr7	90015582	90015782	+	17.5	0.000	WT-na_vs_Null_peak_21708
BGdKO-na_vs_Null_peak_14196	chr7	90106263	90106463	+	14.5	0.000	WT-na_vs_Null_peak_21709
BGdKO-na_vs_Null_peak_14197	chr7	90780270	90780470	+	31.5	0.000	WT-na_vs_Null_peak_21713
BGdKO-na_vs_Null_peak_14198	chr7	90803854	90804054	+	30.5	0.000	WT-na_vs_Null_peak_21714
BGdKO-na_vs_Null_peak_14199	chr7	90809023	90809223	+	22.6	0.000	WT-na_vs_Null_peak_21716
BGdKO-na_vs_Null_peak_14200	chr7	91032890	91033090	+	13.8	0.000	WT-na_vs_Null_peak_21719
BGdKO-na_vs_Null_peak_14201	chr7	91040366	91040566	+	32.3	0.000	WT-na_vs_Null_peak_21720
BGdKO-na_vs_Null_peak_14202	chr7	91300622	91300822	+	27.3	0.000	WT-na_vs_Null_peak_21721
BGdKO-na_vs_Null_peak_14203	chr7	91313436	91313636	+	29.0	0.000	WT-na_vs_Null_peak_21722
BGdKO-na_vs_Null_peak_14204	chr7	91743016	91743216	+	34.0	0.000	WT-na_vs_Null_peak_21724
BGdKO-na_vs_Null_peak_14205	chr7	91827844	91828044	+	23.9	0.000	WT-na_vs_Null_peak_21726
BGdKO-na_vs_Null_peak_14206	chr7	91838408	91838608	+	6.92	0.000	WT-na_vs_Null_peak_21727
BGdKO-na_vs_Null_peak_14207	chr7	91927758	91927958	+	11.1	0.000	WT-na_vs_Null_peak_21729
BGdKO-na_vs_Null_peak_14208	chr7	95246319	95246519	+	37.2	0.000	WT-na_vs_Null_peak_21730
BGdKO-na_vs_Null_peak_14209	chr7	95355005	95355205	+	37.7	0.000	WT-na_vs_Null_peak_21731
BGdKO-na_vs_Null_peak_14210	chr7	95426501	95426701	+	50.1	0.000	WT-na_vs_Null_peak_21733
BGdKO-na_vs_Null_peak_14211	chr7	96396746	96396946	+	29.3	0.000	WT-na_vs_Null_peak_21736
BGdKO-na_vs_Null_peak_14212	chr7	96487216	96487416	+	12.3	0.000	WT-na_vs_Null_peak_21737
BGdKO-na_vs_Null_peak_14213	chr7	97089714	97089914	+	56.9	0.000	WT-na_vs_Null_peak_21738
BGdKO-na_vs_Null_peak_14214	chr7	97129035	97129235	+	14.2	0.000	WT-na_vs_Null_peak_21739
BGdKO-na_vs_Null_peak_14215	chr7	97129386	97129586	+	8.48	0.000	WT-na_vs_Null_peak_21740
BGdKO-na_vs_Null_peak_14216	chr7	97129694	97129894	+	15.9	0.000	WT-na_vs_Null_peak_21741
BGdKO-na_vs_Null_peak_14217	chr7	97146596	97146796	+	21.7	0.000	WT-na_vs_Null_peak_21742
BGdKO-na_vs_Null_peak_14218	chr7	97208440	97208640	+	19.9	0.000	WT-na_vs_Null_peak_21743
BGdKO-na_vs_Null_peak_14219	chr7	97216587	97216787	+	20.5	0.000	WT-na_vs_Null_peak_21744
BGdKO-na_vs_Null_peak_14221	chr7	97278538	97278738	+	24.9	0.000	WT-na_vs_Null_peak_21746
BGdKO-na_vs_Null_peak_14223	chr7	97298902	97299102	+	24.9	0.000	WT-na_vs_Null_peak_21747
BGdKO-na_vs_Null_peak_14224	chr7	97451499	97451699	+	35.0	0.000	WT-na_vs_Null_peak_21751
BGdKO-na_vs_Null_peak_14226	chr7	97493599	97493799	+	12.5	0.000	WT-na_vs_Null_peak_21753
BGdKO-na_vs_Null_peak_14227	chr7	97502403	97502603	+	44.5	0.000	WT-na_vs_Null_peak_21754
BGdKO-na_vs_Null_peak_14228	chr7	97504136	97504336	+	20.2	0.000	WT-na_vs_Null_peak_21755
BGdKO-na_vs_Null_peak_14229	chr7	97558555	97558755	+	31.5	0.000	WT-na_vs_Null_peak_21756
BGdKO-na_vs_Null_peak_14230	chr7	97591153	97591353	+	46.3	0.000	WT-na_vs_Null_peak_21757
BGdKO-na_vs_Null_peak_14231	chr7	97605648	97605848	+	12.4	0.000	WT-na_vs_Null_peak_21758
BGdKO-na_vs_Null_peak_14232	chr7	97624511	97624711	+	45.2	0.000	WT-na_vs_Null_peak_21760
BGdKO-na_vs_Null_peak_14233	chr7	98311652	98311852	+	16.7	0.000	WT-na_vs_Null_peak_21761
BGdKO-na_vs_Null_peak_14236	chr7	99709863	99710063	+	20.6	0.000	WT-na_vs_Null_peak_21763
BGdKO-na_vs_Null_peak_14237	chr7	99710272	99710472	+	9.26	0.000	WT-na_vs_Null_peak_21764
BGdKO-na_vs_Null_peak_14238	chr7	99724188	99724388	+	29.4	0.000	WT-na_vs_Null_peak_21765
BGdKO-na_vs_Null_peak_14239	chr7	99785573	99785773	+	26.5	0.000	WT-na_vs_Null_peak_21766
BGdKO-na_vs_Null_peak_14240	chr7	99818417	99818617	+	32.3	0.000	WT-na_vs_Null_peak_21767
BGdKO-na_vs_Null_peak_14241	chr7	99889972	99890172	+	36.8	0.000	WT-na_vs_Null_peak_21768
BGdKO-na_vs_Null_peak_14242	chr7	100023540	100023740	+	33.7	0.000	WT-na_vs_Null_peak_21770
BGdKO-na_vs_Null_peak_14243	chr7	103969951	103970151	+	14.8	0.000	WT-na_vs_Null_peak_21775
BGdKO-na_vs_Null_peak_14245	chr7	104099895	104100095	+	33.7	0.000	WT-na_vs_Null_peak_21777
BGdKO-na_vs_Null_peak_14246	chr7	104480589	104480789	+	18.2	0.000	WT-na_vs_Null_peak_21780
BGdKO-na_vs_Null_peak_14247	chr7	104519991	104520191	+	19.7	0.000	WT-na_vs_Null_peak_21782
BGdKO-na_vs_Null_peak_14249	chr7	104629255	104629455	+	33.5	0.000	WT-na_vs_Null_peak_21784
BGdKO-na_vs_Null_peak_14250	chr7	104728031	104728231	+	19.3	0.000	WT-na_vs_Null_peak_21786
BGdKO-na_vs_Null_peak_14251	chr7	104729492	104729692	+	33.4	0.000	WT-na_vs_Null_peak_21787
BGdKO-na_vs_Null_peak_14252	chr7	104845037	104845237	+	12.0	0.000	WT-na_vs_Null_peak_21789
BGdKO-na_vs_Null_peak_14253	chr7	104897443	104897643	+	16.6	0.000	WT-na_vs_Null_peak_21790
BGdKO-na_vs_Null_peak_14254	chr7	104898193	104898393	+	9.92	0.000	WT-na_vs_Null_peak_21791
BGdKO-na_vs_Null_peak_14255	chr7	104945260	104945460	+	7.05	0.000	WT-na_vs_Null_peak_21794
BGdKO-na_vs_Null_peak_14256	chr7	105257668	105257868	+	10.3	0.000	WT-na_vs_Null_peak_21799
BGdKO-na_vs_Null_peak_14257	chr7	105336197	105336397	+	10.3	0.000	WT-na_vs_Null_peak_21802
BGdKO-na_vs_Null_peak_14259	chr7	105804164	105804364	+	13.8	0.000	WT-na_vs_Null_peak_21807
BGdKO-na_vs_Null_peak_14260	chr7	105805289	105805489	+	24.2	0.000	WT-na_vs_Null_peak_21808
BGdKO-na_vs_Null_peak_14261	chr7	105841371	105841571	+	15.7	0.000	WT-na_vs_Null_peak_21809
BGdKO-na_vs_Null_peak_14262	chr7	105842706	105842906	+	19.7	0.000	WT-na_vs_Null_peak_21810
BGdKO-na_vs_Null_peak_14263	chr7	105851383	105851583	+	43.7	0.000	WT-na_vs_Null_peak_21811
BGdKO-na_vs_Null_peak_14264	chr7	105963781	105963981	+	30.1	0.000	WT-na_vs_Null_peak_21812
BGdKO-na_vs_Null_peak_14265	chr7	105964143	105964343	+	7.36	0.000	WT-na_vs_Null_peak_21813
BGdKO-na_vs_Null_peak_14266	chr7	106235598	106235798	+	27.1	0.000	WT-na_vs_Null_peak_21818
BGdKO-na_vs_Null_peak_14267	chr7	106289659	106289859	+	45.5	0.000	WT-na_vs_Null_peak_21819
BGdKO-na_vs_Null_peak_14268	chr7	106299893	106300093	+	62.8	0.000	WT-na_vs_Null_peak_21820
BGdKO-na_vs_Null_peak_14269	chr7	106331147	106331347	+	12.0	0.000	WT-na_vs_Null_peak_21821
BGdKO-na_vs_Null_peak_14271	chr7	106529741	106529941	+	23.3	0.000	WT-na_vs_Null_peak_21825
BGdKO-na_vs_Null_peak_14272	chr7	106632132	106632332	+	51.8	0.000	WT-na_vs_Null_peak_21828
BGdKO-na_vs_Null_peak_14273	chr7	106683449	106683649	+	12.1	0.000	WT-na_vs_Null_peak_21830
BGdKO-na_vs_Null_peak_14274	chr7	106684794	106684994	+	30.5	0.000	WT-na_vs_Null_peak_21831
BGdKO-na_vs_Null_peak_14276	chr7	106976847	106977047	+	12.9	0.000	WT-na_vs_Null_peak_21834
BGdKO-na_vs_Null_peak_14277	chr7	107007359	107007559	+	45.1	0.000	WT-na_vs_Null_peak_21835
BGdKO-na_vs_Null_peak_14278	chr7	107269948	107270148	+	29.4	0.000	WT-na_vs_Null_peak_21839
BGdKO-na_vs_Null_peak_14279	chr7	107308045	107308245	+	10.3	0.000	WT-na_vs_Null_peak_21840
