Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_population,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,stage
SRR4895405,RNA-Seq,300,328388400,PRJNA352390,SAMN05977585,154004769,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324768,GSM2373919,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373919,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895406,RNA-Seq,300,552976200,PRJNA352390,SAMN05977584,263576774,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX2324769,GSM2373920,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373920,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895407,RNA-Seq,300,387290700,PRJNA352390,SAMN05977583,184562110,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX2324770,GSM2373921,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373921,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895408,RNA-Seq,300,733119900,PRJNA352390,SAMN05977582,349391352,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324771,GSM2373922,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373922,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895409,RNA-Seq,300,156853500,PRJNA352390,SAMN05977581,73859836,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324772,GSM2373923,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373923,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895410,RNA-Seq,300,306864900,PRJNA352390,SAMN05977580,145018718,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324773,GSM2373924,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373924,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895411,RNA-Seq,300,607452900,PRJNA352390,SAMN05977579,288500923,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324774,GSM2373925,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373925,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895412,RNA-Seq,300,551550000,PRJNA352390,SAMN05977578,262312888,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324775,GSM2373926,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373926,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895413,RNA-Seq,300,850131600,PRJNA352390,SAMN05977576,403606399,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324776,GSM2373927,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373927,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895414,RNA-Seq,300,493764300,PRJNA352390,SAMN05977575,235890343,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324777,GSM2373928,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373928,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895415,RNA-Seq,300,250583700,PRJNA352390,SAMN05977574,119402290,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324778,GSM2373929,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373929,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895416,RNA-Seq,300,355792800,PRJNA352390,SAMN05977589,169951575,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324779,GSM2373930,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373930,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895417,RNA-Seq,300,288975600,PRJNA352390,SAMN05977588,137038031,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324780,GSM2373931,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373931,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895418,RNA-Seq,300,532122300,PRJNA352390,SAMN05977615,253329420,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324781,GSM2373932,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373932,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895419,RNA-Seq,300,510290700,PRJNA352390,SAMN05977614,243241579,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX2324782,GSM2373933,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373933,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895420,RNA-Seq,300,391062900,PRJNA352390,SAMN05977613,185277292,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324783,GSM2373934,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373934,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895421,RNA-Seq,300,794196300,PRJNA352390,SAMN05977612,379529259,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324784,GSM2373935,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373935,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895422,RNA-Seq,300,750183000,PRJNA352390,SAMN05977611,358325239,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324785,GSM2373936,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373936,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895423,RNA-Seq,300,308044500,PRJNA352390,SAMN05977610,146694162,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324786,GSM2373937,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373937,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895424,RNA-Seq,300,512302200,PRJNA352390,SAMN05977609,245526407,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324787,GSM2373938,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373938,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895425,RNA-Seq,300,476978400,PRJNA352390,SAMN05977608,227562988,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324788,GSM2373939,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373939,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895426,RNA-Seq,300,686133900,PRJNA352390,SAMN05977607,328776569,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324789,GSM2373940,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373940,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895427,RNA-Seq,300,423175200,PRJNA352390,SAMN05977606,201359040,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324790,GSM2373941,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373941,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895428,RNA-Seq,300,247343400,PRJNA352390,SAMN05977605,117231403,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324791,GSM2373942,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373942,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895429,RNA-Seq,300,424113600,PRJNA352390,SAMN05977604,201830376,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324792,GSM2373943,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373943,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895430,RNA-Seq,300,375192600,PRJNA352390,SAMN05977603,177370010,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324793,GSM2373944,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373944,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895431,RNA-Seq,300,428776200,PRJNA352390,SAMN05977602,203957489,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324794,GSM2373945,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373945,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895432,RNA-Seq,300,247745700,PRJNA352390,SAMN05977601,117311090,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324795,GSM2373946,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373946,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895433,RNA-Seq,300,20545200,PRJNA352390,SAMN05977388,9781049,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324796,GSM2373947,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373947,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895434,RNA-Seq,300,584010000,PRJNA352390,SAMN05977387,277934177,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324797,GSM2373948,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373948,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895435,RNA-Seq,300,541613100,PRJNA352390,SAMN05977386,266248648,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324798,GSM2373949,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373949,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895436,RNA-Seq,300,388279500,PRJNA352390,SAMN05977385,191202470,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324799,GSM2373950,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373950,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895437,RNA-Seq,300,2006842800,PRJNA352390,SAMN05977384,986970090,HLA-G+,Extravillous trophoblast,GEO,public,sra,"gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324800,GSM2373951,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373951,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895438,RNA-Seq,300,54944400,PRJNA352390,SAMN05977383,27026685,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX2324801,GSM2373952,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373952,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895439,RNA-Seq,300,1084863900,PRJNA352390,SAMN05977508,530963929,HLA-G+,Extravillous trophoblast,GEO,public,sra,"s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324802,GSM2373953,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373953,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895440,RNA-Seq,300,316450200,PRJNA352390,SAMN05977507,155094956,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324803,GSM2373954,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373954,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895441,RNA-Seq,300,207432900,PRJNA352390,SAMN05977506,102280633,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324804,GSM2373955,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373955,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895442,RNA-Seq,300,190572300,PRJNA352390,SAMN05977505,93531239,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324805,GSM2373956,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373956,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895443,RNA-Seq,300,550763700,PRJNA352390,SAMN05977504,270050000,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324806,GSM2373957,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373957,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895444,RNA-Seq,300,714440700,PRJNA352390,SAMN05977503,352777581,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324807,GSM2373958,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373958,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895445,RNA-Seq,300,434486100,PRJNA352390,SAMN05977497,213312566,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX2324808,GSM2373959,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373959,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895446,RNA-Seq,300,12368100,PRJNA352390,SAMN05977496,6220052,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324809,GSM2373960,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373960,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895447,RNA-Seq,300,621174000,PRJNA352390,SAMN05977502,304755651,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324810,GSM2373961,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373961,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895448,RNA-Seq,300,336050100,PRJNA352390,SAMN05977501,165880341,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324811,GSM2373962,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373962,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895449,RNA-Seq,300,289670700,PRJNA352390,SAMN05977500,142518574,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324812,GSM2373963,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373963,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895450,RNA-Seq,300,1030807500,PRJNA352390,SAMN05977499,505264571,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX2324813,GSM2373964,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373964,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895451,RNA-Seq,300,558721500,PRJNA352390,SAMN05977498,274410663,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324814,GSM2373965,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373965,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895452,RNA-Seq,300,145942800,PRJNA352390,SAMN05977495,72067141,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324815,GSM2373966,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373966,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895453,RNA-Seq,300,411719400,PRJNA352390,SAMN05977494,201426965,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX2324816,GSM2373967,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373967,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895454,RNA-Seq,300,582131100,PRJNA352390,SAMN05977493,288588454,HLA-G+,Extravillous trophoblast,GEO,public,"sra,contigs","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX2324817,GSM2373968,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373968,Extravillous trophoblast of Week 24,SRP092548,Week 24
SRR4895455,RNA-Seq,300,259154100,PRJNA352390,SAMN05977492,127608661,HLA-G+,Extravillous trophoblast,GEO,public,"contigs,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX2324818,GSM2373969,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-07-26T00:00:00Z,GSM2373969,Extravillous trophoblast of Week 24,SRP092548,Week 24
