1.NAME	2.Length	3.Num_Peaks	4.Num_Reads	5.RPKM
Speg	8481.0	1	46.0	0.747416192637
Gmppa	11234.0	1	182.0	2.23248578619
Asic4	27831.0	5	361.0	1.78743445254
Chpf	8903.0	8	1395.0	21.5918357711
Tmem198	10162.0	8	1395.0	18.916759877
Obsl1	24628.0	4	263.0	1.47156123105
Stk11ip	19807.0	4	650.0	4.52216484109
Slc4a3	17166.0	1	18.0	0.144495769108
Farsb	68153.0	8	828.0	1.6741605085
Mogat1	31114.0	2	99.0	0.438461112323
Utp14b	13777.0	4	900.0	9.00201194931
Acsl3	53919.0	7	953.0	2.4355822798
Scg2	9422.0	1	21.0	0.307134023342
Ap1s3	69097.0	9	1289.0	2.57066485132
Wdfy1	63508.0	19	1803.0	3.91218176681
Mrpl44	9428.0	3	1145.0	16.7354597212
Serpine2	68345.0	8	398.0	0.80246861939
Fam124b	19246.0	4	218.0	1.56087363957
Cul3	77613.0	11	2277.0	4.04278172629
1700016L21Rik	33729.0	4	352.0	1.43810611232
Dock10	261486.0	46	4443.0	2.34142152014
Nyap2	198335.0	2	34.0	0.023622795513
Irs1	62335.0	7	568.0	1.25564856874
Rhbdd1	110318.0	1	15.0	0.0187368514394
Col4a4	140127.0	1	32.0	0.0314687786874
Mff	31472.0	3	538.0	2.35564405117
Tm4sf20	15808.0	1	40.0	0.348686230954
Agfg1	60793.0	15	1418.0	3.21421104789
Pid1	252353.0	8	343.0	0.18729982951
Dner	330383.0	2	187.0	0.0779965958129
Trip12	122116.0	11	1053.0	1.18824921216
Fbxo36	64646.0	9	799.0	1.7031655165
A530032D15Rik	25715.0	14	367.0	1.96666898851
Gm7609	18152.0	1	15.0	0.113872409492
C130026I21Rik	28223.0	11	238.0	1.16205187388
Sp100	63399.0	1	15.0	0.0326032268189
A630001G21Rik	23524.0	12	2363.0	13.8421733885
Cab39	62131.0	4	73.0	0.16190723292
Itm2c	18189.0	1	19.0	0.143944976139
4933407L21Rik	7274.0	2	287.0	5.43701253255
Gpr55	25519.0	13	814.0	4.39554253525
Psmd1	78677.0	3	218.0	0.381821549717
Htr2b	16934.0	3	218.0	1.77397980791
Armc9	127505.0	2	30.0	0.0324224458193
Ncl	18737.0	1	89.0	0.65454827689
C130036L24Rik	12391.0	2	144.0	1.60142966509
Nmur1	5817.0	3	215.0	5.09320468827
1700019O17Rik	5721.0	2	44.0	1.05982085873
Ptma	7963.0	2	125.0	2.16314200793
Pde6d	43487.0	13	816.0	2.58572565488
Cops7b	23401.0	4	185.0	1.08940420142
Nppc	8281.0	1	22.0	0.366093173096
Dis3l2	350294.0	52	3892.0	1.53105878964
Prss56	8912.0	1	15.0	0.231935814306
Chrnd	13474.0	3	68.0	0.695447105252
Eif4e2	30575.0	1	18.0	0.0811255722817
Gigyf2	127813.0	1	15.0	0.0161721575825
Inpp5d	104197.0	4	62.0	0.081995158261
Usp40	67431.0	2	31.0	0.0633510514846
Sh3bp4	87332.0	4	294.0	0.463901373506
C030007H22Rik	49792.0	4	765.0	2.11715960057
Agap1	444472.0	46	5004.0	1.55140300302
4933400F21Rik	11386.0	1	15.0	0.18153978369
Asb18	65900.0	3	53.0	0.110826135342
Iqca	115270.0	9	482.0	0.576212239646
Ackr3	15743.0	5	124.0	1.08539026937
Col6a3	81114.0	4	182.0	0.309191327293
Mlph	40043.0	6	733.0	2.52248795746
Prlh	4905.0	4	120.0	3.37127335714
Lrrfip1	134218.0	17	2914.0	2.99178595084
Ube2f	39707.0	1	32.0	0.111054110135
Espnl	30229.0	1	27.0	0.123081198808
Ilkap	26953.0	1	15.0	0.0766894956812
1700020N18Rik	5150.0	2	235.0	6.28799760022
Per2	47347.0	4	1225.0	3.56529406571
Traf3ip1	38640.0	4	77.0	0.274603040435
Asb1	23026.0	8	731.0	4.37472351619
Twist2	50551.0	4	316.0	0.86140832659
Hdac4	219639.0	11	2650.0	1.66260143214
Ankmy1	36778.0	1	16.0	0.0599492298539
Gpr35	17273.0	1	16.0	0.12764503998
Ano7	34409.0	4	358.0	1.43371460529
Hdlbp	76869.0	6	1738.0	3.11566155077
Bok	14069.0	2	35.0	0.34281242068
Thap4	53448.0	4	564.0	1.4541170921
Atg4b	38497.0	13	3021.0	10.8137312566
D2hgdh	30935.0	2	31.0	0.13809034274
Gal3st2	19151.0	5	227.0	1.63337586828
4930598F16Rik	19335.0	1	17.0	0.121159222862
1700063A18Rik	35100.0	2	67.0	0.263038561188
Slco4c1	57388.0	2	42.0	0.100850936361
Cntnap5b	717178.0	6	687.0	0.132002304241
Cdh20	230663.0	37	4886.0	2.91895406432
Pign	149255.0	2	34.0	0.0313907550707
Cntnap5a	899538.0	28	3981.0	0.609851922566
Tsn	16615.0	3	229.0	1.89927071022
Clasp1	224405.0	15	447.0	0.274490126857
Inhbb	10784.0	1	22.0	0.281121806974
Tmem185b	6830.0	1	36.0	0.726329245245
Epb4.1l5	107968.0	5	93.0	0.118696968157
Ptpn4	182979.0	7	670.0	0.504574486563
Dpp10	717422.0	47	3348.0	0.643076283258
Actr3	46823.0	16	1132.0	3.33149315233
Slc35f5	38669.0	1	34.0	0.121162356101
Gpr39	200866.0	7	195.0	0.133776526153
Lypd1	44173.0	11	1841.0	5.74312973963
Nckap5	920997.0	94	11915.0	1.78273817809
Tmem163	191680.0	1	20.0	0.0143782135301
Acmsd	42152.0	1	15.0	0.0490371032714
2900009J06Rik	24438.0	1	15.0	0.0845818797403
Thsd7b	949975.0	136	16481.0	2.39068918617
Daf2	38472.0	9	476.0	1.70495893307
Cd55	27711.0	5	376.0	1.86976652686
Zp3r	56901.0	9	307.0	0.743481575564
C4bp-ps1	15370.0	1	15.0	0.134483537872
Mapkapk2	47840.0	1	74.0	0.213153409009
Dyrk3	13794.0	12	719.0	7.18274424402
Eif2d	24265.0	4	405.0	2.29999272127
Rassf5	72769.0	9	1290.0	2.44284008342
Ikbke	28962.0	7	427.0	2.03166013908
Srgap2	246111.0	22	812.0	0.454649521395
Fam72a	15884.0	3	50.0	0.433772344727
Avpr1b	16887.0	3	73.0	0.595692443212
Ctse	41194.0	8	396.0	1.32468602698
5430435G22Rik	28770.0	3	793.0	3.79826323215
Slc26a9	30384.0	4	486.0	2.20415969121
Pm20d1	24721.0	9	611.0	3.40586092257
Slc41a1	24852.0	2	56.0	0.310512019736
Rab7l1	9611.0	2	57.0	0.817255801993
Nucks1	29864.0	8	834.0	3.84830785985
Slc45a3	16364.0	1	25.0	0.210524319349
Elk4	22080.0	3	93.0	0.580410971829
Mfsd4	35280.0	1	17.0	0.0664006115091
Cdk18	30139.0	1	18.0	0.0822991596441
Lemd1	69947.0	15	1526.0	3.00633363074
Mir135b	4097.0	4	868.0	29.1947993836
Tmcc2	38967.0	1	16.0	0.0565815375976
Dstyk	53507.0	8	1038.0	2.67324329181
Rbbp5	32299.0	2	36.0	0.15359078439
Cntn2	37516.0	6	1109.0	4.07349092405
Nfasc	181108.0	20	2955.0	2.2483896873
Pik3c2b	66677.0	12	1337.0	2.76316672253
Ppp1r15b	12635.0	1	15.0	0.16359414144
Plekha6	61339.0	11	731.0	1.6422240937
Gm19461	23957.0	9	645.0	3.71004362045
Etnk2	20747.0	2	88.0	0.584492710542
Sox13	45913.0	8	994.0	2.9833379148
Snrpe	10410.0	1	31.0	0.410357805251
Zc3h11a	45529.0	5	171.0	0.517558842471
Lax1	15080.0	2	50.0	0.456899199181
Atp2b4	55074.0	1	67.0	0.167640874055
Optc	14806.0	6	630.0	5.86346771835
Prelp	15097.0	10	931.0	8.49788324689
Chit1	44299.0	8	598.0	1.86019723892
Chil1	11628.0	1	23.0	0.272567798837
Adora1	40243.0	9	1229.0	4.20836372346
Ppfia4	40146.0	3	95.0	0.326086679991
Tmem183a	19903.0	5	135.0	0.934688629546
Cyb5r1	9749.0	1	34.0	0.480585408563
Adipor1	20875.0	1	22.0	0.14522718881
Rabif	17225.0	1	31.0	0.24800143702
Kdm5b	76701.0	7	716.0	1.28636356379
Syt2	106737.0	34	2541.0	3.28051030964
Ppp1r12b	27999.0	8	700.0	3.44514300265
Ube2t	15615.0	1	18.0	0.158848182678
Lmod1	47253.0	2	33.0	0.0962357173006
Ipo9	52177.0	4	162.0	0.427846165027
Nav1	154776.0	4	77.0	0.0685549534968
Pkp1	51630.0	9	570.0	1.52133362637
Igfn1	56765.0	7	1126.0	2.73343960329
Tmem9	21030.0	5	98.0	0.6421530314
Ascl5	4567.0	2	48.0	1.44831143567
Cacna1s	70922.0	1	22.0	0.0427457991371
Kif21b	50614.0	3	92.0	0.250477604211
5730559C18Rik	24759.0	6	246.0	1.36915854535
Gpr25	5960.0	2	186.0	4.30049471744
Camsap2	81982.0	15	1339.0	2.25068026098
Ddx59	28950.0	6	137.0	0.652114314017
Zfp281	9491.0	2	203.0	2.94737773575
Gm19705	11410.0	2	107.0	1.29225989804
Gm16880	33518.0	10	1723.0	7.0836796876
Nr5a2	120865.0	29	2020.0	2.30304565354
Pla2g4a	135663.0	12	2385.0	2.42258319776
Mir7652	31942.0	2	54.0	0.232961089398
Ptgs2	11889.0	1	16.0	0.185449808694
Lincrna-cox2	9906.0	5	802.0	11.1564950914
BC003331	35745.0	2	52.0	0.200465562193
Tpr	61098.0	12	1023.0	2.30728038296
Prg4	20754.0	2	43.0	0.285508062751
Hmcn1	434934.0	36	2944.0	0.93275198238
Trmt1l	33536.0	1	22.0	0.09039890167
Mir7682	4058.0	1	22.0	0.747071849779
Rnf2	35418.0	9	690.0	2.68458272478
Fam129a	151975.0	36	2777.0	2.51799846922
Edem3	70955.0	3	81.0	0.157309064566
1700025G04Rik	209797.0	22	2570.0	1.68805107831
Lamc2	67692.0	10	1495.0	3.04337578616
Lamc1	117865.0	36	3940.0	4.60641535641
Shcbp1l	31366.0	3	203.0	0.891843463942
Npl	50699.0	4	85.0	0.231031536523
Rgs8	48629.0	4	146.0	0.413722605381
C230024C17Rik	20590.0	4	136.0	0.910194686368
Gm5531	6527.0	1	21.0	0.443360926602
Zfp648	8488.0	1	21.0	0.34093034495
Cacna1e	337402.0	52	4269.0	1.74353325908
Mr1	22903.0	8	303.0	1.82306431198
Stx6	48815.0	14	608.0	1.71633484526
Acbd6	133114.0	10	723.0	0.748456039905
Lhx4	44334.0	5	168.0	0.522184647076
Rasal2	281413.0	7	1265.0	0.619438370183
BC026585	34152.0	4	110.0	0.443841878427
Brinp2	114992.0	16	4083.0	4.89286785311
Astn1	333483.0	13	821.0	0.339251042921
Pappa2	249708.0	12	1124.0	0.620276873322
Rfwd2	119255.0	28	2739.0	3.16495230403
Tnr	405154.0	64	7781.0	2.64647026296
4930523C07Rik	38207.0	12	708.0	2.5535364022
4930562F07Rik	7184.0	2	87.0	1.66880142917
Rabgap1l	136398.0	6	312.0	0.31520879429
Rc3h1	72566.0	2	42.0	0.0797568218706
Suco	64550.0	5	813.0	1.73558557953
4930558K02Rik	41548.0	5	124.0	0.411266463143
Pigc	8248.0	3	63.0	1.05255217068
Dnm3	494729.0	71	7726.0	2.15198415497
Dnm3os	11928.0	2	33.0	0.381239633602
Mir199a-2	4110.0	1	18.0	0.603507146597
Vamp4	32251.0	7	543.0	2.32010894455
Myoc	14545.0	6	229.0	2.16956911999
Fmo4	22667.0	1	35.0	0.21277751562
Fmo1	40988.0	1	33.0	0.110945309593
Fmo2	27666.0	3	234.0	1.16552399489
Fmo6	24675.0	1	16.0	0.0893541145113
Fmo3	34692.0	5	683.0	2.71295818509
Mroh9	65369.0	12	929.0	1.95837387418
Prrx1	72532.0	15	2861.0	5.43550549318
Gorab	22733.0	1	15.0	0.0909256137375
Mettl11b	26240.0	12	1419.0	7.45195628937
Kifap3	141422.0	61	6088.0	5.93211283325
Scyl3	29362.0	4	91.0	0.427078286937
BC055324	44774.0	1	52.0	0.160040235864
Sele	13444.0	8	251.0	2.57274623748
Sell	22710.0	7	1372.0	8.32508566732
Selp	38763.0	8	560.0	1.99077592407
F5	72416.0	8	230.0	0.43766824526
Atp1b1	25257.0	6	1227.0	6.69444430163
4930568G15Rik	29314.0	6	155.0	0.728632181323
Tbx19	26921.0	2	55.0	0.281529063408
Gpr161	30086.0	5	518.0	2.3725591175
Dcaf6	134963.0	39	6106.0	6.23438776165
Mpc2	24007.0	4	1067.0	6.12460748826
Adcy10	95591.0	1	38.0	0.0547795330311
Mpzl1	46361.0	1	17.0	0.0505298327051
Rxrg	45262.0	5	540.0	1.64403762926
Pbx1	282643.0	17	3661.0	1.78489728459
Nuf2	37531.0	2	153.0	0.561762867133
Rgs5	42026.0	10	522.0	1.71160750019
Rgs4	10166.0	10	453.0	6.14044478735
Hsd17b7	23669.0	5	159.0	0.925697197059
3110045C21Rik	6988.0	5	159.0	3.13542171683
Ddr2	120638.0	33	2014.0	2.30052560656
Uap1	36944.0	6	697.0	2.59980393394
Uhmk1	20138.0	6	973.0	6.6580681753
Sh2d1b2	22717.0	2	79.0	0.479212179397
Sh2d1b1	12339.0	2	337.0	3.76358449513
Nos1ap	233897.0	48	4679.0	2.75664047019
Olfml2b	42258.0	2	50.0	0.163046995211
Pcp4l1	27005.0	1	22.0	0.112261342951
Arhgap30	25280.0	2	55.0	0.299803952374
Usf1	11062.0	2	55.0	0.685142281325
Tstd1	5320.0	1	33.0	0.854779389024
F11r	31033.0	2	58.0	0.257546686154
Alyref2	5273.0	5	833.0	21.7690242989
Itln1	21171.0	4	197.0	1.28226145667
Cd244	30124.0	11	631.0	2.88647934658
Ly9	22722.0	5	319.0	1.9346208394
Cd48	27203.0	9	461.0	2.33526332008
Cd84	55022.0	5	167.0	0.418246035131
Slamf6	30332.0	1	40.0	0.181723326484
Vangl2	26898.0	9	377.0	1.93140385993
Copa	43804.0	2	379.0	1.19227702085
Ccdc19	28741.0	1	72.0	0.345209195576
BC094916	18647.0	1	15.0	0.11084957243
Pydc3	28713.0	5	1921.0	9.21935478238
AI607873	22382.0	1	113.0	0.695714870317
Ifi204	23626.0	7	3157.0	18.4134902556
Ifi203	26058.0	1	20.0	0.105764677621
Fmn2	324905.0	3	119.0	0.0504710454388
Grem2	92035.0	15	2338.0	3.50060593068
Rgs7	437470.0	23	2624.0	0.826546495058
Fh1	28258.0	8	231.0	1.12647690733
Opn3	34211.0	6	196.0	0.789481643351
Chml	10116.0	2	89.0	1.21236368763
Wdr64	121141.0	20	998.0	1.13524898157
Exo1	34619.0	1	43.0	0.171161337252
Pld5	317007.0	10	3529.0	1.53403242771
Sdccag8	209773.0	1	17.0	0.0111673741332
Akt3	230653.0	7	369.0	0.220454512348
1700016C15Rik	27492.0	4	187.0	0.937318103974
Gm16432	60857.0	5	148.0	0.335121977324
Desi2	69181.0	2	51.0	0.101586284126
Cox20	7541.0	1	20.0	0.365470888405
Hnrnpu	13485.0	7	529.0	5.40575620261
Efcab2	81369.0	44	5721.0	9.68868202957
Kif26b	407733.0	61	5601.0	1.89296003082
Smyd3	566965.0	95	7538.0	1.83211030467
Tfb2m	22212.0	1	17.0	0.105466125249
Cnst	84945.0	2	57.0	0.0924674261341
Sccpdh	22954.0	1	38.0	0.228127138711
Cdc42bpa	208514.0	8	372.0	0.245843909915
Adck3	32248.0	9	1416.0	6.05079169678
Psen2	33297.0	4	253.0	1.04704934419
Itpkb	97184.0	12	1082.0	1.53420793492
6330403A02Rik	55132.0	17	1647.0	4.11662764066
Parp1	36280.0	13	1045.0	3.9691795591
Mir6904	4067.0	3	331.0	11.2151621083
Mixl1	7987.0	1	15.0	0.258797042331
Acbd3	32162.0	1	15.0	0.0642687636681
9130409I23Rik	13431.0	1	208.0	2.13406046328
Nvl	54735.0	2	42.0	0.105739171204
Wdr26	42753.0	4	274.0	0.883152498809
Cnih3	112014.0	24	4657.0	5.72909027879
Ccdc121	5819.0	1	33.0	0.781479008353
Enah	127596.0	5	209.0	0.225715280109
